enc_class	enc_method	exp	kind	class	method	param	index	uri
main.MainView#$@$#MainView()#$@$#cp#$@$#FIELD	main.MainView	null	cp	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url433bec1e56_sarobe_DifficultyInvestigation_tgz-pJ8-fr_inria_optimization_cmaes_examples_CMAExample1J8/src/main/MainView.java
main.MainView#$@$#MainView()#$@$#this#$@$#FIELD	main.MainView	null	this	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url433bec1e56_sarobe_DifficultyInvestigation_tgz-pJ8-fr_inria_optimization_cmaes_examples_CMAExample1J8/src/main/MainView.java
main.MainView#$@$#MainView()#$@$#stv#$@$#FIELD	main.MainView	null	stv	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url433bec1e56_sarobe_DifficultyInvestigation_tgz-pJ8-fr_inria_optimization_cmaes_examples_CMAExample1J8/src/main/MainView.java
main.MainView#$@$#MainView()#$@$#spv#$@$#FIELD	main.MainView	null	spv	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url433bec1e56_sarobe_DifficultyInvestigation_tgz-pJ8-fr_inria_optimization_cmaes_examples_CMAExample1J8/src/main/MainView.java
main.MainView#$@$#MainView()#$@$#setLayout#$@$#METHOD	java.awt.Container	setLayout(java.awt.LayoutManager)	null	null	null
main.MainView#$@$#MainView()#$@$#add#$@$#METHOD	java.awt.Container	add(java.awt.Component,java.lang.Object)	null	null	null
main.MainView#$@$#MainView()#$@$#cp#$@$#FIELD	main.MainView	null	cp	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url433bec1e56_sarobe_DifficultyInvestigation_tgz-pJ8-fr_inria_optimization_cmaes_examples_CMAExample1J8/src/main/MainView.java
main.MainView#$@$#MainView()#$@$#java.awt.BorderLayout.WEST#$@$#FIELD	java.awt.BorderLayout	null	WEST	null	null
main.MainView#$@$#MainView()#$@$#add#$@$#METHOD	java.awt.Container	add(java.awt.Component,java.lang.Object)	null	null	null
main.MainView#$@$#MainView()#$@$#stv#$@$#FIELD	main.MainView	null	stv	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url433bec1e56_sarobe_DifficultyInvestigation_tgz-pJ8-fr_inria_optimization_cmaes_examples_CMAExample1J8/src/main/MainView.java
main.MainView#$@$#MainView()#$@$#java.awt.BorderLayout.NORTH#$@$#FIELD	java.awt.BorderLayout	null	NORTH	null	null
main.MainView#$@$#MainView()#$@$#add#$@$#METHOD	java.awt.Container	add(java.awt.Component,java.lang.Object)	null	null	null
main.MainView#$@$#MainView()#$@$#spv#$@$#FIELD	main.MainView	null	spv	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url433bec1e56_sarobe_DifficultyInvestigation_tgz-pJ8-fr_inria_optimization_cmaes_examples_CMAExample1J8/src/main/MainView.java
main.MainView#$@$#MainView()#$@$#java.awt.BorderLayout.EAST#$@$#FIELD	java.awt.BorderLayout	null	EAST	null	null
main.MainView#$@$#MainView()#$@$#bestSolution#$@$#FIELD	main.MainView	null	bestSolution	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url433bec1e56_sarobe_DifficultyInvestigation_tgz-pJ8-fr_inria_optimization_cmaes_examples_CMAExample1J8/src/main/MainView.java
main.MainView#$@$#MainView()#$@$#common.Params.maxActions#$@$#FIELD	common.Params	null	maxActions	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url433bec1e56_sarobe_DifficultyInvestigation_tgz-pJ8-fr_inria_optimization_cmaes_examples_CMAExample1J8/src/common/Params.java
main.MainView#$@$#MainView()#$@$#main.MainView.mainView#$@$#FIELD	main.MainView	null	mainView	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url433bec1e56_sarobe_DifficultyInvestigation_tgz-pJ8-fr_inria_optimization_cmaes_examples_CMAExample1J8/src/main/MainView.java
main.MainView#$@$#MainView()#$@$#this#$@$#FIELD	main.MainView	null	this	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url433bec1e56_sarobe_DifficultyInvestigation_tgz-pJ8-fr_inria_optimization_cmaes_examples_CMAExample1J8/src/main/MainView.java
main.MainView#$@$#startRun()#$@$#running#$@$#FIELD	main.MainView	null	running	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url433bec1e56_sarobe_DifficultyInvestigation_tgz-pJ8-fr_inria_optimization_cmaes_examples_CMAExample1J8/src/main/MainView.java
main.MainView#$@$#startRun()#$@$#getNextRunIndex#$@$#METHOD	main.MainView	getNextRunIndex()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url433bec1e56_sarobe_DifficultyInvestigation_tgz-pJ8-fr_inria_optimization_cmaes_examples_CMAExample1J8/src/main/MainView.java
main.MainView#$@$#startRun()#$@$#stv.setRunIndex#$@$#METHOD	main.StatsVisualiser	setRunIndex(int)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url433bec1e56_sarobe_DifficultyInvestigation_tgz-pJ8-fr_inria_optimization_cmaes_examples_CMAExample1J8/src/main/StatsVisualiser.java
main.MainView#$@$#startRun()#$@$#stv#$@$#FIELD	main.MainView	null	stv	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url433bec1e56_sarobe_DifficultyInvestigation_tgz-pJ8-fr_inria_optimization_cmaes_examples_CMAExample1J8/src/main/MainView.java
main.MainView#$@$#startRun()#$@$#problem#$@$#FIELD	main.MainView	null	problem	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url433bec1e56_sarobe_DifficultyInvestigation_tgz-pJ8-fr_inria_optimization_cmaes_examples_CMAExample1J8/src/main/MainView.java
main.MainView#$@$#startRun()#$@$#handler#$@$#FIELD	main.MainView	null	handler	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url433bec1e56_sarobe_DifficultyInvestigation_tgz-pJ8-fr_inria_optimization_cmaes_examples_CMAExample1J8/src/main/MainView.java
main.MainView#$@$#startRun()#$@$#problem#$@$#FIELD	main.MainView	null	problem	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url433bec1e56_sarobe_DifficultyInvestigation_tgz-pJ8-fr_inria_optimization_cmaes_examples_CMAExample1J8/src/main/MainView.java
main.MainView#$@$#startRun()#$@$#r#$@$#FIELD	main.MainView	null	r	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url433bec1e56_sarobe_DifficultyInvestigation_tgz-pJ8-fr_inria_optimization_cmaes_examples_CMAExample1J8/src/main/MainView.java
main.MainView#$@$#startRun()#$@$#problem#$@$#FIELD	main.MainView	null	problem	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url433bec1e56_sarobe_DifficultyInvestigation_tgz-pJ8-fr_inria_optimization_cmaes_examples_CMAExample1J8/src/main/MainView.java
main.MainView#$@$#startRun()#$@$#handler#$@$#FIELD	main.MainView	null	handler	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url433bec1e56_sarobe_DifficultyInvestigation_tgz-pJ8-fr_inria_optimization_cmaes_examples_CMAExample1J8/src/main/MainView.java
main.MainView#$@$#startRun()#$@$#stv#$@$#FIELD	main.MainView	null	stv	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url433bec1e56_sarobe_DifficultyInvestigation_tgz-pJ8-fr_inria_optimization_cmaes_examples_CMAExample1J8/src/main/MainView.java
main.MainView#$@$#startRun()#$@$#r#$@$#FIELD	main.MainView	null	r	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url433bec1e56_sarobe_DifficultyInvestigation_tgz-pJ8-fr_inria_optimization_cmaes_examples_CMAExample1J8/src/main/MainView.java
main.MainView#$@$#startRun()#$@$#t.start#$@$#METHOD	java.lang.Thread	start()	null	null	null
main.MainView#$@$#startRun()#$@$#cp.blockChanges#$@$#METHOD	main.ControlPanel	blockChanges()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url433bec1e56_sarobe_DifficultyInvestigation_tgz-pJ8-fr_inria_optimization_cmaes_examples_CMAExample1J8/src/main/ControlPanel.java
main.MainView#$@$#startRun()#$@$#cp#$@$#FIELD	main.MainView	null	cp	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url433bec1e56_sarobe_DifficultyInvestigation_tgz-pJ8-fr_inria_optimization_cmaes_examples_CMAExample1J8/src/main/MainView.java
